project_id,month,site_visits,training_hours,template_use,standups_per_week,early_warning_active,issues_opened,severe_issues,resolution_time_days,reporting_lag_days,data_quality_score,audit_score,kpi_met
P0002,2024-10-01,8,8.3,0,3,1,5,1,8.5,3.1,1.0,84.0,1
P0002,2024-11-01,5,7.9,0,3,1,2,0,4.1,2.4,1.0,91.6,1
P0002,2024-12-01,4,6.0,0,3,1,4,0,5.4,3.6,0.879,84.8,1
P0003,2024-01-01,2,9.4,0,1,1,6,0,8.9,3.1,0.924,75.3,1
P0003,2024-02-01,4,7.8,0,1,1,8,4,6.0,4.4,0.855,70.0,1
P0003,2024-03-01,5,9.5,0,1,1,4,0,8.5,3.7,1.0,81.7,1
P0003,2024-04-01,4,9.0,0,1,1,4,0,6.6,3.1,0.988,77.0,1
P0003,2024-05-01,5,7.7,0,1,1,0,0,8.4,3.7,1.0,79.2,1
P0003,2024-06-01,6,4.3,0,1,1,8,2,7.4,1.6,0.916,77.6,1
P0003,2024-07-01,3,7.7,0,1,1,7,2,8.8,3.9,0.771,73.8,1
P0003,2024-08-01,3,6.0,0,1,1,6,2,8.9,2.7,0.74,68.7,0
P0003,2024-09-01,6,7.4,0,1,1,4,0,8.3,3.2,1.0,71.1,1
P0003,2024-10-01,5,11.6,0,1,1,7,3,8.3,2.5,0.925,69.9,1
P0003,2024-11-01,4,7.0,0,1,1,5,3,5.6,3.3,0.807,82.8,1
P0003,2024-12-01,3,5.3,0,1,1,7,3,9.2,2.9,0.684,68.4,0
P0004,2024-01-01,3,9.8,0,3,1,9,3,6.8,2.5,0.852,74.8,1
P0004,2024-02-01,3,8.2,0,3,1,3,0,8.6,0.5,0.889,90.8,1
P0004,2024-03-01,6,8.5,0,3,1,2,0,5.8,1.3,1.0,90.1,1
P0004,2024-04-01,2,10.4,0,3,1,6,0,6.6,2.2,0.945,83.8,1
P0004,2024-05-01,4,10.3,0,3,1,8,2,10.2,3.5,0.965,80.9,1
P0004,2024-06-01,5,8.6,0,3,1,4,0,5.0,0.5,1.0,79.9,1
P0004,2024-07-01,6,7.4,0,3,1,3,0,5.5,1.1,1.0,90.3,1
P0004,2024-08-01,6,8.5,0,3,1,7,1,6.0,1.9,1.0,76.1,1
P0004,2024-09-01,6,9.4,0,3,1,6,2,4.8,2.4,1.0,77.7,1
P0004,2024-10-01,3,6.9,0,3,1,8,3,8.6,2.5,0.776,71.0,1
P0004,2024-11-01,3,7.9,0,3,1,5,0,8.5,2.1,0.996,86.3,1
P0004,2024-12-01,5,7.4,0,3,1,3,0,6.3,2.3,1.0,87.4,1
P0005,2024-01-01,5,9.9,1,4,0,5,1,5.1,0.8,1.0,87.9,1
P0005,2024-02-01,5,12.4,1,4,0,7,3,1.0,1.4,1.0,89.6,1
P0005,2024-03-01,5,7.3,1,4,0,7,2,3.5,1.4,0.933,83.2,1
P0005,2024-04-01,6,8.5,1,4,0,5,1,4.5,1.0,1.0,87.0,1
P0005,2024-05-01,5,9.2,1,4,0,8,3,5.1,1.5,0.994,85.7,1
P0005,2024-06-01,7,6.9,1,4,0,7,3,2.7,0.3,1.0,87.4,1
P0005,2024-07-01,6,5.8,1,4,0,3,0,3.8,0.5,1.0,85.6,1
P0005,2024-08-01,5,7.9,1,4,0,4,1,2.4,1.2,1.0,93.5,1
P0005,2024-09-01,3,11.7,1,4,0,3,1,3.5,0.3,1.0,85.6,1
P0005,2024-10-01,4,7.4,1,4,0,3,0,3.3,1.2,0.973,88.6,1
P0005,2024-11-01,3,8.0,1,4,0,3,0,4.1,1.6,0.894,87.0,1
P0005,2024-12-01,6,7.4,1,4,0,7,2,3.5,1.4,0.998,85.9,1
P0006,2024-01-01,5,7.3,1,2,1,4,0,5.6,1.2,1.0,88.2,1
P0006,2024-02-01,3,9.6,1,2,1,3,0,3.0,1.4,0.932,83.4,1
P0006,2024-03-01,6,5.8,1,2,1,5,0,4.7,1.3,1.0,77.8,1
P0006,2024-04-01,3,9.5,1,2,1,6,1,5.0,2.0,0.865,81.5,1
P0006,2024-05-01,6,8.6,1,2,1,4,0,6.8,1.9,1.0,77.9,1
P0006,2024-06-01,6,7.9,1,2,1,3,1,4.0,1.8,1.0,89.7,1
P0006,2024-07-01,5,10.7,1,2,1,3,0,6.1,2.1,1.0,84.3,1
P0006,2024-08-01,4,6.6,1,2,1,4,0,5.0,1.0,1.0,72.4,1
P0006,2024-09-01,5,11.2,1,2,1,4,0,4.2,2.6,1.0,88.4,1
P0006,2024-10-01,5,7.6,1,2,1,10,3,4.8,1.6,0.917,72.3,1
P0006,2024-11-01,5,6.0,1,2,1,5,0,7.3,2.3,1.0,77.8,1
P0006,2024-12-01,3,8.7,1,2,1,2,0,4.7,2.4,0.915,86.5,1
P0007,2024-01-01,2,6.9,0,2,0,9,3,5.8,2.7,0.644,70.8,0
P0007,2024-02-01,6,8.1,0,2,0,3,1,7.1,3.2,1.0,87.7,1
P0007,2024-03-01,6,5.6,0,2,0,5,2,6.4,3.1,1.0,83.1,1
P0007,2024-04-01,5,7.7,0,2,0,3,0,7.4,3.0,1.0,81.7,1
P0007,2024-05-01,3,6.5,0,2,0,6,3,6.0,2.7,0.778,77.5,1
P0007,2024-06-01,5,7.2,0,2,0,5,1,6.1,2.4,1.0,80.7,1
P0007,2024-07-01,6,7.5,0,2,0,7,1,7.1,4.2,1.0,83.0,1
P0007,2024-08-01,6,11.5,0,2,0,4,0,5.1,4.0,1.0,82.8,1
P0007,2024-09-01,4,11.2,0,2,0,3,2,7.7,2.1,1.0,88.6,1
P0007,2024-10-01,6,6.9,0,2,0,7,4,8.2,2.9,0.906,74.7,1
P0007,2024-11-01,2,10.0,0,2,0,5,2,6.7,4.1,0.828,77.3,1
P0007,2024-12-01,3,10.6,0,2,0,4,2,7.5,3.4,0.858,72.9,1
P0008,2024-01-01,6,6.1,1,4,0,5,1,2.6,1.2,1.0,87.6,1
P0008,2024-02-01,6,6.6,1,4,0,3,0,4.8,1.3,1.0,91.2,1
P0008,2024-03-01,6,12.6,1,4,0,6,2,3.7,2.1,1.0,82.9,1
P0008,2024-04-01,5,10.3,1,4,0,4,0,3.2,0.3,0.965,85.8,1
P0008,2024-05-01,4,5.5,1,4,0,6,1,3.6,0.8,0.949,79.8,1
P0008,2024-06-01,7,8.5,1,4,0,4,0,4.9,1.6,1.0,83.9,1
P0008,2024-07-01,5,9.0,1,4,0,3,0,4.1,2.1,1.0,90.8,1
P0008,2024-08-01,6,8.2,1,4,0,7,1,3.5,0.5,1.0,81.8,1
P0008,2024-09-01,6,11.2,1,4,0,4,1,3.3,1.1,1.0,87.9,1
P0008,2024-10-01,5,9.4,1,4,0,10,4,5.0,1.2,0.951,75.8,1
P0008,2024-11-01,7,6.0,1,4,0,3,3,3.5,0.2,1.0,88.9,1
P0008,2024-12-01,6,9.6,1,4,0,4,2,5.3,0.5,1.0,87.0,1
P0009,2024-01-01,4,8.8,1,2,1,5,0,6.5,2.4,1.0,76.8,1
P0009,2024-02-01,4,11.9,1,2,1,8,3,7.4,1.5,0.904,80.8,1
P0009,2024-03-01,4,5.7,1,2,1,7,1,3.8,1.7,0.865,88.3,1
P0009,2024-04-01,4,7.8,1,2,1,8,2,4.6,1.5,0.885,74.3,1
P0009,2024-05-01,6,7.8,1,2,1,5,0,5.6,2.1,1.0,78.8,1
P0009,2024-06-01,3,8.9,1,2,1,6,0,6.0,0.8,0.981,80.2,1
P0009,2024-07-01,5,8.0,1,2,1,7,1,4.7,1.8,1.0,81.9,1
P0009,2024-08-01,4,6.8,1,2,1,4,0,4.4,1.5,1.0,80.7,1
P0009,2024-09-01,2,10.4,1,2,1,4,0,5.4,0.5,0.893,85.1,1
P0009,2024-10-01,4,11.3,1,2,1,3,0,4.9,1.6,1.0,92.5,1
P0009,2024-11-01,6,12.5,1,2,1,2,0,5.9,2.2,1.0,93.2,1
P0009,2024-12-01,5,9.3,1,2,1,4,0,2.8,2.8,1.0,79.7,1
P0010,2024-01-01,5,9.4,1,1,1,3,1,3.8,2.9,1.0,80.2,1
P0010,2024-02-01,3,7.4,1,1,1,4,0,5.5,1.8,0.928,82.2,1
P0010,2024-03-01,5,8.6,1,1,1,6,1,6.1,1.6,1.0,81.2,1
P0010,2024-04-01,5,7.2,1,1,1,2,0,5.7,2.7,1.0,77.7,1
P0010,2024-05-01,6,9.7,1,1,1,7,1,6.1,2.2,1.0,82.8,1
P0010,2024-06-01,6,7.9,1,1,1,4,1,6.0,3.0,1.0,79.1,1
P0010,2024-07-01,4,8.7,1,1,1,6,2,5.5,1.8,0.917,81.7,1
P0010,2024-08-01,4,5.6,1,1,1,7,1,4.9,1.4,0.791,69.9,1
P0010,2024-09-01,4,7.7,1,1,1,5,2,4.3,1.9,0.891,74.7,1
P0010,2024-10-01,5,10.1,1,1,1,5,1,6.3,2.1,1.0,78.6,1
P0010,2024-11-01,5,5.3,1,1,1,7,2,6.4,1.7,0.899,68.4,1
P0010,2024-12-01,5,6.1,1,1,1,8,1,7.4,1.3,0.937,75.4,1
P0011,2024-01-01,7,4.1,1,4,1,5,0,3.5,0.1,1.0,79.1,1
P0011,2024-02-01,6,8.7,1,4,1,4,0,2.4,1.8,1.0,88.5,1
P0011,2024-03-01,3,9.6,1,4,1,4,0,2.5,0.7,1.0,92.8,1
P0011,2024-04-01,5,8.0,1,4,1,4,1,4.3,1.3,1.0,87.8,1
P0011,2024-05-01,5,10.9,1,4,1,6,2,3.8,0.6,1.0,85.2,1
P0011,2024-06-01,6,7.9,1,4,1,5,0,4.9,0.0,1.0,86.9,1
P0011,2024-07-01,5,8.7,1,4,1,5,0,3.0,0.6,1.0,90.8,1
P0011,2024-08-01,4,9.3,1,4,1,6,0,3.5,0.2,1.0,86.3,1
P0011,2024-09-01,4,10.1,1,4,1,5,0,2.9,0.3,1.0,89.1,1
P0011,2024-10-01,4,8.9,1,4,1,8,1,2.5,0.0,0.944,87.6,1
P0011,2024-11-01,4,8.3,1,4,1,4,1,3.6,0.8,1.0,92.8,1
P0011,2024-12-01,3,9.0,1,4,1,4,0,4.7,0.9,0.954,88.8,1
P0012,2024-01-01,5,7.8,0,2,1,4,0,8.8,4.1,0.996,87.0,1
P0012,2024-02-01,4,8.5,0,2,1,6,1,8.0,2.0,0.869,70.5,1
P0012,2024-03-01,3,8.7,0,2,1,6,2,7.6,2.1,0.863,78.6,1
P0012,2024-04-01,3,6.5,0,2,1,3,0,7.3,2.2,0.869,75.7,1
P0012,2024-05-01,5,10.2,0,2,1,4,1,7.5,2.1,1.0,81.2,1
P0012,2024-06-01,3,5.0,0,2,1,5,0,6.8,2.5,0.876,82.0,1
P0012,2024-07-01,4,8.9,0,2,1,5,1,5.1,2.7,0.976,76.1,1
P0012,2024-08-01,6,7.5,0,2,1,4,0,7.0,2.0,1.0,78.3,1
P0012,2024-09-01,3,8.5,0,2,1,4,0,6.1,2.7,0.935,76.1,1
P0012,2024-10-01,5,13.3,0,2,1,6,2,5.8,2.9,1.0,82.0,1
P0012,2024-11-01,2,9.3,0,2,1,6,1,7.9,2.7,0.82,79.8,1
P0012,2024-12-01,4,8.4,0,2,1,3,0,7.0,2.7,1.0,80.2,1
P0013,2024-01-01,4,9.2,0,3,0,5,2,7.2,3.0,0.901,81.7,1
P0013,2024-02-01,6,7.6,0,3,0,7,2,6.6,2.4,0.93,78.8,1
P0013,2024-03-01,5,8.8,0,3,0,3,0,6.2,2.3,1.0,86.6,1
P0013,2024-04-01,6,9.4,0,3,0,4,0,8.5,1.7,1.0,85.6,1
P0013,2024-05-01,6,6.5,0,3,0,6,3,7.4,2.1,0.98,72.8,1
P0013,2024-06-01,4,12.2,0,3,0,4,0,7.5,1.8,1.0,89.3,1
P0013,2024-07-01,6,10.2,0,3,0,4,1,6.2,2.7,1.0,89.9,1
P0013,2024-08-01,5,10.1,0,3,0,6,3,6.1,4.7,0.976,83.3,1
P0013,2024-09-01,6,8.9,0,3,0,7,2,7.1,2.7,1.0,86.3,1
P0013,2024-10-01,5,3.7,0,3,0,5,1,8.2,1.4,0.964,74.9,1
P0013,2024-11-01,5,9.5,0,3,0,7,1,4.8,2.2,1.0,79.6,1
P0013,2024-12-01,7,8.1,0,3,0,7,2,7.4,1.1,1.0,80.0,1
P0014,2024-01-01,4,6.0,1,1,0,7,4,2.8,1.9,0.771,68.6,1
P0014,2024-02-01,6,8.2,1,1,0,5,1,5.6,1.7,1.0,82.0,1
P0014,2024-03-01,7,7.8,1,1,0,9,5,7.4,2.0,0.983,70.6,1
P0014,2024-04-01,4,9.5,1,1,0,4,0,8.8,2.3,1.0,85.9,1
P0014,2024-05-01,5,9.7,1,1,0,6,3,5.3,2.7,0.984,76.2,1
P0014,2024-06-01,5,7.8,1,1,0,7,3,3.3,2.5,0.914,75.9,1
P0014,2024-07-01,6,7.9,1,1,0,8,4,8.0,1.9,0.854,73.0,1
P0014,2024-08-01,3,6.0,1,1,0,5,0,5.4,1.4,0.857,70.4,1
P0014,2024-09-01,3,6.8,1,1,0,5,1,4.6,1.1,0.818,76.2,1
P0014,2024-10-01,4,6.3,1,1,0,2,0,5.8,2.9,0.931,76.2,1
P0014,2024-11-01,5,6.4,1,1,0,4,2,4.8,2.0,0.948,83.5,1
P0014,2024-12-01,4,7.9,1,1,0,8,5,4.3,1.8,0.691,67.8,1
P0015,2024-01-01,5,6.0,0,2,1,9,4,7.3,3.1,0.803,67.1,1
P0015,2024-02-01,4,8.3,0,2,1,9,3,7.1,1.8,0.871,74.1,1
P0015,2024-03-01,2,7.3,0,2,1,4,0,7.5,3.2,0.871,74.8,1
P0015,2024-04-01,3,7.4,0,2,1,6,2,8.9,3.0,0.852,75.4,1
P0015,2024-05-01,5,6.5,0,2,1,5,0,7.8,0.9,0.941,71.9,1
P0015,2024-06-01,5,7.0,0,2,1,5,0,8.1,3.8,1.0,83.9,1
P0015,2024-07-01,5,8.0,0,2,1,6,1,7.2,2.0,0.998,79.0,1
P0015,2024-08-01,4,11.5,0,2,1,4,0,8.0,1.5,1.0,81.4,1
P0015,2024-09-01,4,5.9,0,2,1,1,0,8.3,1.3,0.966,89.6,1
P0015,2024-10-01,2,7.9,0,2,1,7,1,7.0,2.2,0.762,80.9,1
P0015,2024-11-01,5,8.2,0,2,1,2,0,6.8,2.5,1.0,85.2,1
P0015,2024-12-01,6,10.6,0,2,1,5,1,8.9,4.3,1.0,80.0,1
P0016,2024-01-01,6,3.8,0,3,1,5,0,5.0,2.5,1.0,73.6,1
P0016,2024-02-01,4,8.0,0,3,1,7,2,5.9,0.9,0.88,78.7,1
P0016,2024-03-01,6,7.2,0,3,1,10,3,6.2,0.0,0.92,79.9,1
P0016,2024-04-01,4,11.8,0,3,1,5,1,6.8,2.3,1.0,81.7,1
P0016,2024-05-01,6,7.6,0,3,1,6,2,8.0,1.4,1.0,77.7,1
P0016,2024-06-01,4,7.6,0,3,1,9,5,8.7,1.0,0.781,73.2,1
P0016,2024-07-01,4,8.1,0,3,1,7,0,7.2,1.1,0.981,83.8,1
P0016,2024-08-01,6,7.6,0,3,1,5,0,6.6,2.4,1.0,81.0,1
P0016,2024-09-01,3,7.5,0,3,1,3,0,5.3,2.3,0.934,84.9,1
P0016,2024-10-01,6,8.2,0,3,1,5,0,7.4,2.2,1.0,74.9,1
P0016,2024-11-01,4,7.3,0,3,1,11,4,7.8,2.5,0.83,70.5,1
P0016,2024-12-01,4,8.2,0,3,1,4,0,6.5,1.9,0.963,79.1,1
P0017,2024-01-01,4,11.5,0,2,0,6,0,6.9,2.6,1.0,84.8,1
P0017,2024-02-01,7,7.1,0,2,0,9,4,7.5,1.8,0.965,71.3,1
P0017,2024-03-01,6,9.0,0,2,0,8,4,6.9,1.3,0.962,72.8,1
P0017,2024-04-01,5,7.3,0,2,0,3,1,7.4,2.8,0.944,78.3,1
P0017,2024-05-01,2,9.3,0,2,0,5,2,8.9,3.5,0.842,76.0,1
P0017,2024-06-01,5,6.0,0,2,0,5,1,8.0,2.9,0.903,73.1,1
P0017,2024-07-01,4,7.5,0,2,0,3,1,7.7,3.2,0.908,68.4,1
P0017,2024-08-01,4,8.6,0,2,0,4,0,8.0,2.7,0.946,79.6,1
P0017,2024-09-01,8,7.3,0,2,0,4,0,7.1,2.7,1.0,78.8,1
P0017,2024-10-01,5,8.1,0,2,0,4,3,6.6,3.1,0.929,75.6,1
P0017,2024-11-01,6,8.1,0,2,0,3,1,8.9,2.5,0.994,78.5,1
P0017,2024-12-01,5,8.5,0,2,0,6,2,7.5,3.8,0.974,76.9,1
P0018,2024-01-01,4,8.3,0,3,0,7,2,8.8,2.2,0.875,84.1,1
P0018,2024-02-01,6,9.1,0,3,0,8,6,9.9,1.9,0.896,79.6,1
P0018,2024-03-01,5,5.7,0,3,0,7,1,8.8,2.0,0.927,73.4,1
P0018,2024-04-01,5,5.8,0,3,0,9,4,6.4,2.7,0.779,74.3,1
P0018,2024-05-01,5,7.7,0,3,0,4,2,6.8,2.2,0.937,82.9,1
P0018,2024-06-01,4,9.2,0,3,0,0,0,6.4,2.5,1.0,87.9,1
P0018,2024-07-01,3,7.5,0,3,0,7,3,5.7,1.1,0.757,70.5,1
P0018,2024-08-01,5,9.6,0,3,0,3,2,8.4,1.9,1.0,84.4,1
P0018,2024-09-01,5,8.8,0,3,0,2,0,7.1,2.0,1.0,83.4,1
P0018,2024-10-01,4,7.4,0,3,0,4,2,5.9,2.1,0.887,77.9,1
P0018,2024-11-01,6,8.1,0,3,0,7,3,6.7,2.3,0.91,79.8,1
P0018,2024-12-01,4,6.9,0,3,0,5,1,6.0,3.7,0.891,81.1,1
P0019,2024-01-01,5,6.1,0,2,1,3,0,7.1,4.3,1.0,76.1,1
P0019,2024-02-01,2,11.2,0,2,1,6,2,8.3,3.5,0.9,80.9,1
P0019,2024-03-01,2,7.3,0,2,1,3,0,8.0,3.5,0.866,84.4,1
P0019,2024-04-01,5,9.4,0,2,1,9,2,7.3,2.4,0.975,72.0,1
P0019,2024-05-01,2,5.0,0,2,1,9,3,5.6,1.2,0.682,66.9,0
P0019,2024-06-01,3,6.7,0,2,1,6,0,8.9,3.5,0.876,85.2,1
P0019,2024-07-01,6,9.9,0,2,1,3,0,10.6,1.9,1.0,85.0,1
P0019,2024-08-01,5,6.4,0,2,1,6,2,8.9,3.2,0.908,80.1,1
P0019,2024-09-01,3,6.7,0,2,1,7,3,7.2,2.3,0.824,70.8,1
P0019,2024-10-01,4,7.1,0,2,1,6,0,7.0,3.0,0.937,79.7,1
P0019,2024-11-01,5,9.6,0,2,1,6,0,6.8,3.9,1.0,83.2,1
P0019,2024-12-01,5,7.0,0,2,1,7,2,10.1,2.8,0.965,82.6,1
P0020,2024-01-01,5,8.9,1,3,1,6,1,3.7,0.8,1.0,89.6,1
P0020,2024-02-01,3,11.6,1,3,1,3,0,5.0,2.2,1.0,88.8,1
P0020,2024-03-01,7,9.3,1,3,1,3,0,5.2,1.5,1.0,84.3,1
P0020,2024-04-01,3,10.7,1,3,1,5,0,5.4,1.0,1.0,85.2,1
P0020,2024-05-01,6,11.0,1,3,1,6,0,2.8,0.6,1.0,87.0,1
P0020,2024-06-01,5,9.0,1,3,1,5,1,5.3,1.6,0.976,89.0,1
P0020,2024-07-01,5,11.0,1,3,1,0,0,6.2,0.4,1.0,93.4,1
P0020,2024-08-01,5,7.2,1,3,1,6,0,4.0,1.9,0.991,78.2,1
P0020,2024-09-01,5,9.0,1,3,1,5,0,4.8,1.0,1.0,86.1,1
P0020,2024-10-01,6,8.4,1,3,1,6,0,4.4,0.0,1.0,80.7,1
P0020,2024-11-01,7,9.5,1,3,1,4,0,4.2,0.8,1.0,86.2,1
P0020,2024-12-01,6,10.7,1,3,1,3,0,5.2,0.9,1.0,91.8,1
P0021,2024-01-01,6,7.9,0,2,1,5,0,8.4,2.8,1.0,86.4,1
P0021,2024-02-01,5,5.9,0,2,1,3,0,7.0,1.6,0.965,75.6,1
P0021,2024-03-01,5,9.2,0,2,1,4,1,8.0,4.1,1.0,82.6,1
P0021,2024-04-01,5,9.8,0,2,1,11,4,7.4,2.2,0.914,68.6,1
P0021,2024-05-01,3,11.2,0,2,1,6,0,6.7,2.4,1.0,84.3,1
P0021,2024-06-01,5,6.4,0,2,1,8,3,7.3,3.1,0.834,72.8,1
P0021,2024-07-01,6,6.7,0,2,1,5,0,8.1,2.4,1.0,74.7,1
P0021,2024-08-01,4,5.9,0,2,1,6,0,7.0,2.8,0.923,69.1,1
P0021,2024-09-01,4,6.0,0,2,1,9,3,6.7,3.7,0.747,66.7,0
P0021,2024-10-01,1,8.4,0,2,1,3,0,10.0,2.5,0.871,81.7,1
P0021,2024-11-01,5,5.8,0,2,1,3,0,9.5,2.2,1.0,85.0,1
P0021,2024-12-01,4,4.7,0,2,1,6,0,8.9,3.6,0.929,77.4,1
P0022,2024-01-01,3,5.9,0,1,1,4,0,5.1,2.9,0.89,76.6,1
P0022,2024-02-01,4,11.1,0,1,1,5,0,9.6,4.3,0.969,78.0,1
P0022,2024-03-01,3,6.8,0,1,1,6,1,9.0,3.0,0.811,69.6,1
P0022,2024-04-01,4,8.3,0,1,1,7,3,6.8,3.9,0.838,72.0,1
P0022,2024-05-01,5,5.6,0,1,1,9,3,10.8,4.3,0.808,64.9,1
P0022,2024-06-01,4,7.8,0,1,1,8,3,10.5,2.5,0.809,71.0,1
P0022,2024-07-01,5,9.6,0,1,1,6,0,8.8,2.7,1.0,73.5,1
P0022,2024-08-01,4,8.6,0,1,1,4,0,10.4,2.5,0.973,79.2,1
P0022,2024-09-01,7,6.2,0,1,1,5,0,7.9,3.5,1.0,73.9,1
P0022,2024-10-01,6,5.3,0,1,1,4,0,8.2,0.3,1.0,77.5,1
P0022,2024-11-01,5,6.0,0,1,1,6,0,9.4,3.1,0.881,66.2,1
P0022,2024-12-01,3,5.7,0,1,1,9,3,7.6,3.5,0.69,67.7,0
P0023,2024-01-01,2,8.1,1,2,1,8,3,5.1,1.9,0.769,67.6,1
P0023,2024-02-01,2,5.0,1,2,1,5,2,3.9,2.1,0.693,76.7,1
P0023,2024-03-01,2,7.5,1,2,1,4,0,5.1,1.9,0.859,79.4,1
P0023,2024-04-01,3,10.7,1,2,1,9,3,3.5,2.2,0.912,71.6,1
P0023,2024-05-01,5,8.0,1,2,1,7,3,3.5,1.7,0.976,76.0,1
P0023,2024-06-01,3,6.8,1,2,1,5,0,5.0,1.5,0.883,77.8,1
P0023,2024-07-01,3,10.5,1,2,1,3,1,4.4,1.2,0.908,78.3,1
P0023,2024-08-01,4,8.2,1,2,1,9,1,5.5,2.1,0.944,72.1,1
P0023,2024-09-01,6,10.0,1,2,1,4,1,5.0,2.3,1.0,82.6,1
P0023,2024-10-01,4,8.7,1,2,1,5,0,5.2,1.7,1.0,80.7,1
P0023,2024-11-01,4,7.8,1,2,1,3,0,6.0,0.7,1.0,83.8,1
P0023,2024-12-01,4,7.1,1,2,1,4,1,2.7,2.6,0.947,85.7,1
P0024,2024-01-01,4,7.4,1,2,0,6,3,4.8,1.9,0.81,72.9,1
P0024,2024-02-01,2,9.7,1,2,0,4,2,6.3,3.7,0.84,87.6,1
P0024,2024-03-01,5,5.2,1,2,0,9,5,6.1,2.7,0.809,67.9,1
P0024,2024-04-01,3,6.9,1,2,0,3,2,4.5,0.9,0.842,73.2,1
P0024,2024-05-01,5,9.9,1,2,0,5,1,4.5,1.5,1.0,83.9,1
P0024,2024-06-01,6,5.7,1,2,0,6,3,5.8,1.9,0.867,75.8,1
P0024,2024-07-01,5,7.8,1,2,0,7,3,4.3,4.3,0.841,80.6,1
P0024,2024-08-01,2,6.6,1,2,0,4,1,6.9,1.8,0.766,83.3,1
P0024,2024-09-01,3,5.5,1,2,0,8,3,6.4,0.8,0.737,73.9,0
P0024,2024-10-01,4,3.8,1,2,0,7,3,6.4,1.3,0.731,73.4,0
P0024,2024-11-01,5,5.1,1,2,0,6,2,2.3,2.5,0.844,81.4,1
P0024,2024-12-01,4,10.5,1,2,0,6,3,4.8,2.8,0.868,79.8,1
P0025,2024-01-01,1,6.6,0,2,1,5,0,8.1,2.0,0.757,75.4,1
P0025,2024-02-01,2,7.2,0,2,1,5,0,6.6,2.1,0.842,70.8,1
P0025,2024-03-01,3,10.1,0,2,1,7,2,9.5,3.6,0.822,77.6,1
P0025,2024-04-01,3,6.3,0,2,1,5,1,7.8,3.6,0.838,80.6,1
P0025,2024-05-01,4,3.6,0,2,1,6,1,6.2,3.3,0.868,68.8,1
P0025,2024-06-01,5,6.9,0,2,1,9,1,9.4,2.5,0.957,72.6,1
P0025,2024-07-01,6,7.3,0,2,1,5,3,7.8,3.1,1.0,78.5,1
P0025,2024-08-01,3,5.6,0,2,1,5,0,7.0,3.5,0.833,73.5,1
P0025,2024-09-01,3,6.4,0,2,1,4,0,7.8,3.4,0.956,80.7,1
P0025,2024-10-01,4,10.2,0,2,1,3,0,6.5,1.9,0.983,82.7,1
P0025,2024-11-01,5,7.6,0,2,1,4,0,8.4,2.1,1.0,85.4,1
P0025,2024-12-01,6,5.8,0,2,1,1,0,9.4,0.9,1.0,77.5,1
P0026,2024-01-01,7,7.1,1,3,0,6,2,5.7,1.6,1.0,84.1,1
P0026,2024-02-01,5,7.1,1,3,0,4,0,5.7,1.5,0.966,85.4,1
P0026,2024-03-01,5,8.3,1,3,0,5,2,4.2,3.4,0.989,84.8,1
P0026,2024-04-01,4,4.4,1,3,0,7,4,4.5,2.0,0.701,80.9,1
P0026,2024-05-01,6,11.7,1,3,0,3,0,4.3,1.4,1.0,86.9,1
P0026,2024-06-01,4,8.7,1,3,0,6,0,3.1,1.5,0.933,75.9,1
P0026,2024-07-01,5,6.9,1,3,0,5,1,4.1,2.1,0.954,84.1,1
