state,district,month,theme,visits_per_1k,funds_on_time,data_quality,female_pct,training_sessions,outreach_pre_monsoon,monsoon,beneficiaries,age0_5,age6_17,age18_35,age36_plus,outcome_score,dropout_rate,nps,data_issue_flag
Andhra Pradesh,Andhra-Dist-02,2023-02-01,Skilling,5.31,0.74,0.941,0.642,6,0,0,319,14,55,124,126,100.0,0.01,39.3,OK
Andhra Pradesh,Andhra-Dist-02,2023-04-01,Health,6.16,0.989,0.879,0.532,6,1,0,323,54,60,119,90,100.0,0.01,46.8,OK
Andhra Pradesh,Andhra-Dist-02,2023-05-01,Health,5.58,0.554,0.732,0.551,6,1,0,321,57,52,124,88,100.0,0.01,25.2,OK
Andhra Pradesh,Andhra-Dist-02,2023-06-01,Education,3.89,0.899,0.861,0.502,4,0,1,308,21,159,136,0,100.0,0.01,48.8,OK
Andhra Pradesh,Andhra-Dist-02,2023-07-01,WASH,4.45,0.672,0.874,0.536,7,0,1,333,11,70,122,130,100.0,0.013,31.4,OK
Andhra Pradesh,Andhra-Dist-02,2023-08-01,Skilling,4.81,0.725,0.761,0.583,6,0,1,312,12,58,116,126,99.2,0.01,32.9,OK
Andhra Pradesh,Andhra-Dist-02,2023-11-01,Skilling,5.86,0.761,0.987,0.578,4,0,0,297,23,46,126,102,100.0,0.01,38.1,OK
Andhra Pradesh,Andhra-Dist-02,2023-12-01,Livelihoods,6.11,0.689,0.803,0.426,5,0,0,321,22,51,113,135,100.0,0.01,34.2,OK
Andhra Pradesh,Andhra-Dist-02,2024-02-01,Skilling,5.3,0.615,0.757,0.596,8,0,0,318,22,62,129,105,100.0,0.01,23.0,OK
Andhra Pradesh,Andhra-Dist-02,2024-03-01,Livelihoods,3.95,0.911,0.762,0.523,8,0,0,294,16,47,113,118,100.0,0.01,34.7,OK
Andhra Pradesh,Andhra-Dist-02,2024-04-01,Education,7.01,0.639,0.688,0.49,13,1,0,345,21,177,135,12,100.0,0.01,28.7,OK
Andhra Pradesh,Andhra-Dist-02,2024-05-01,Skilling,5.85,0.723,0.671,0.595,8,1,0,367,32,60,129,146,100.0,0.01,33.1,OK
Andhra Pradesh,Andhra-Dist-02,2024-06-01,Livelihoods,5.44,0.702,0.82,0.508,6,0,1,306,14,46,124,122,100.0,0.01,36.1,OK
Andhra Pradesh,Andhra-Dist-02,2024-08-01,Health,5.71,0.798,0.708,0.473,8,0,1,342,64,69,127,82,100.0,0.01,19.1,OK
Andhra Pradesh,Andhra-Dist-02,2024-09-01,Health,4.69,0.646,0.854,0.5,12,0,1,349,52,71,127,99,100.0,0.01,38.0,OK
Andhra Pradesh,Andhra-Dist-02,2024-11-01,Skilling,4.97,0.673,0.822,0.658,4,0,0,302,17,60,108,117,100.0,0.01,21.4,OK
Andhra Pradesh,Andhra-Dist-02,2025-01-01,Skilling,7.23,0.814,0.858,0.484,9,0,0,359,16,60,147,136,100.0,0.01,49.4,OK
Andhra Pradesh,Andhra-Dist-02,2025-02-01,Livelihoods,7.31,0.775,0.731,0.529,6,0,0,336,11,58,135,132,100.0,0.01,34.8,OK
Andhra Pradesh,Andhra-Dist-02,2025-03-01,Livelihoods,5.59,0.754,0.747,0.486,7,0,0,327,19,49,116,143,100.0,0.01,36.9,OK
Andhra Pradesh,Andhra-Dist-02,2025-05-01,WASH,6.88,0.945,0.906,0.544,7,1,0,341,24,61,129,127,100.0,0.01,34.5,OK
Andhra Pradesh,Andhra-Dist-02,2025-07-01,WASH,4.74,0.58,0.678,0.531,3,0,1,296,13,62,113,108,98.4,0.01,14.6,OK
Andhra Pradesh,Andhra-Dist-02,2025-08-01,Education,4.49,0.626,0.933,0.649,9,0,1,303,0,0,0,0,100.0,0.01,36.8,MISSING_AGE
Andhra Pradesh,Andhra-Dist-02,2025-10-01,Skilling,4.66,0.813,0.749,0.595,6,0,0,315,12,54,118,131,100.0,0.01,31.8,OK
Andhra Pradesh,Andhra-Dist-03,2023-01-01,Health,5.59,0.708,0.838,0.41,9,0,0,330,56,65,129,80,100.0,0.01,30.3,OK
Andhra Pradesh,Andhra-Dist-03,2023-05-01,WASH,5.13,0.699,0.811,0.405,4,1,0,308,11,74,112,111,100.0,0.01,30.7,OK
Andhra Pradesh,Andhra-Dist-03,2023-06-01,Livelihoods,3.5,0.583,0.762,0.437,3,0,1,285,13,56,120,96,85.1,0.042,29.2,OK
Andhra Pradesh,Andhra-Dist-03,2023-08-01,Education,4.85,0.896,0.649,0.44,6,0,1,315,16,167,111,21,100.0,0.01,39.3,OK
Andhra Pradesh,Andhra-Dist-03,2023-09-01,Education,3.43,0.785,0.818,0.377,6,0,1,278,17,141,85,35,100.0,0.01,37.1,OK
Andhra Pradesh,Andhra-Dist-03,2023-12-01,WASH,4.66,0.824,0.898,0.451,6,0,0,329,12,60,120,137,100.0,0.01,43.1,OK
Andhra Pradesh,Andhra-Dist-03,2024-01-01,Education,5.69,0.683,0.671,0.472,2,0,0,285,13,165,103,4,100.0,0.01,24.2,OK
Andhra Pradesh,Andhra-Dist-03,2024-02-01,Skilling,5.83,0.615,0.65,0.519,9,0,0,326,18,56,134,118,100.0,0.01,24.8,OK
Andhra Pradesh,Andhra-Dist-03,2024-03-01,Education,4.08,0.623,0.734,0.469,8,0,0,292,13,143,114,22,100.0,0.012,23.2,OK
Andhra Pradesh,Andhra-Dist-03,2024-04-01,Livelihoods,5.27,0.653,0.583,0.469,6,1,0,303,12,50,119,122,100.0,0.01,24.3,OK
Andhra Pradesh,Andhra-Dist-03,2024-08-01,Health,4.28,0.605,0.602,0.421,5,0,1,239,33,47,96,63,97.8,0.01,9.3,OK
Andhra Pradesh,Andhra-Dist-03,2024-10-01,Livelihoods,4.52,0.819,0.829,0.421,8,0,0,282,9,59,111,103,100.0,0.01,37.6,OK
Andhra Pradesh,Andhra-Dist-03,2024-11-01,Skilling,4.65,0.597,0.555,0.532,7,0,0,327,14,55,129,129,100.0,0.01,18.6,OK
Andhra Pradesh,Andhra-Dist-03,2024-12-01,WASH,4.88,0.743,0.897,0.438,4,0,0,298,13,48,108,129,100.0,0.01,30.0,OK
Andhra Pradesh,Andhra-Dist-03,2025-02-01,Health,5.35,0.695,0.864,0.42,5,0,0,291,51,40,113,87,100.0,0.01,27.5,OK
Andhra Pradesh,Andhra-Dist-03,2025-03-01,Livelihoods,3.43,0.698,0.638,0.341,8,0,0,275,16,39,91,129,100.0,0.041,22.0,OK
Andhra Pradesh,Andhra-Dist-03,2025-07-01,Education,4.76,0.699,0.8,0.415,8,0,1,319,9,164,123,23,100.0,0.01,24.9,OK
Andhra Pradesh,Andhra-Dist-03,2025-08-01,Livelihoods,2.98,0.647,0.855,0.445,5,0,1,256,8,38,89,121,93.1,0.047,31.8,OK
Andhra Pradesh,Andhra-Dist-03,2025-10-01,Livelihoods,5.26,0.67,0.87,0.443,7,0,0,311,12,45,113,141,100.0,0.01,26.9,OK
Andhra Pradesh,Andhra-Dist-04,2023-01-01,Skilling,4.35,0.658,0.816,0.625,9,0,0,297,9,50,105,133,100.0,0.01,29.8,OK
Andhra Pradesh,Andhra-Dist-04,2023-02-01,Livelihoods,5.2,0.544,0.82,0.511,7,0,0,305,10,56,99,140,100.0,0.01,18.1,OK
Andhra Pradesh,Andhra-Dist-04,2023-03-01,Skilling,6.01,0.724,0.699,0.65,3,0,0,305,0,0,0,0,100.0,0.01,32.7,MISSING_AGE
Andhra Pradesh,Andhra-Dist-04,2023-06-01,Education,5.54,0.658,0.614,0.435,4,0,1,308,13,162,117,16,100.0,0.01,31.8,OK
Andhra Pradesh,Andhra-Dist-04,2023-07-01,Education,4.38,0.668,0.721,0.527,7,0,1,317,18,173,114,12,100.0,0.01,22.6,OK
Andhra Pradesh,Andhra-Dist-04,2023-09-01,Livelihoods,5.92,0.719,0.782,0.515,6,0,1,310,23,55,125,107,100.0,0.01,39.9,OK
Andhra Pradesh,Andhra-Dist-04,2023-10-01,Health,3.82,0.677,0.688,0.405,6,0,0,294,0,0,0,0,100.0,0.053,26.8,MISSING_AGE
Andhra Pradesh,Andhra-Dist-04,2024-02-01,Education,6.48,0.596,0.857,0.479,8,0,0,341,20,179,121,21,100.0,0.01,31.1,OK
Andhra Pradesh,Andhra-Dist-04,2024-06-01,Skilling,5.18,0.673,0.743,0.499,4,0,1,311,26,62,107,116,100.0,0.01,22.6,OK
Andhra Pradesh,Andhra-Dist-04,2024-07-01,WASH,4.61,0.979,0.773,0.517,3,0,1,289,0,0,0,0,99.5,0.01,38.3,MISSING_AGE
Andhra Pradesh,Andhra-Dist-04,2024-10-01,Education,5.64,0.876,0.669,0.521,5,0,0,336,15,181,117,23,100.0,0.01,33.7,OK
Andhra Pradesh,Andhra-Dist-04,2024-11-01,WASH,5.27,0.713,0.708,0.454,9,0,0,320,15,67,123,115,100.0,0.01,37.6,OK
Andhra Pradesh,Andhra-Dist-04,2024-12-01,Education,3.75,0.958,0.717,0.476,9,0,0,285,17,143,117,8,100.0,0.01,34.4,OK
Andhra Pradesh,Andhra-Dist-04,2025-01-01,Health,4.96,0.73,0.694,0.511,3,0,0,314,61,54,118,81,100.0,0.01,42.3,OK
Andhra Pradesh,Andhra-Dist-04,2025-05-01,Education,6.14,0.683,0.478,0.429,3,1,0,317,10,174,102,31,100.0,0.01,13.9,OK
Andhra Pradesh,Andhra-Dist-04,2025-07-01,Livelihoods,4.47,0.79,0.69,0.462,5,0,1,322,19,74,127,102,100.0,0.01,35.2,OK
Andhra Pradesh,Andhra-Dist-04,2025-08-01,Education,4.52,0.66,0.804,0.584,6,0,1,285,4,149,112,20,100.0,0.01,21.1,OK
Andhra Pradesh,Andhra-Dist-04,2025-09-01,Livelihoods,3.82,0.93,0.828,0.507,6,0,1,319,14,69,123,113,100.0,0.015,46.9,OK
Andhra Pradesh,Andhra-Dist-05,2023-01-01,WASH,6.18,0.814,0.733,0.456,2,0,0,307,17,63,117,110,100.0,0.01,28.0,OK
Andhra Pradesh,Andhra-Dist-05,2023-02-01,Education,6.59,0.837,0.739,0.419,10,0,0,349,24,184,131,10,100.0,0.01,42.9,OK
Andhra Pradesh,Andhra-Dist-05,2023-04-01,Livelihoods,5.7,0.878,0.753,0.388,7,1,0,317,14,56,129,118,100.0,0.01,28.3,OK
Andhra Pradesh,Andhra-Dist-05,2023-05-01,Skilling,4.92,0.791,0.906,0.479,6,1,0,289,11,41,104,133,100.0,0.01,46.4,OK
Andhra Pradesh,Andhra-Dist-05,2023-07-01,Skilling,6.78,0.72,0.558,0.5,9,0,1,342,9,62,111,160,100.0,0.01,21.8,OK
Andhra Pradesh,Andhra-Dist-05,2023-11-01,Livelihoods,5.92,0.711,0.706,0.516,3,0,0,287,12,59,101,115,100.0,0.01,37.7,OK
Andhra Pradesh,Andhra-Dist-05,2024-01-01,Health,4.52,0.822,0.701,0.384,5,0,0,263,0,0,0,0,100.0,0.01,22.0,MISSING_AGE
Andhra Pradesh,Andhra-Dist-05,2024-02-01,Livelihoods,4.62,0.904,0.872,0.525,7,0,0,297,21,63,131,82,100.0,0.01,40.1,OK
Andhra Pradesh,Andhra-Dist-05,2024-04-01,Skilling,5.43,0.738,0.592,0.518,4,1,0,290,19,48,112,111,100.0,0.01,41.5,OK
Andhra Pradesh,Andhra-Dist-05,2024-07-01,WASH,6.14,0.68,0.81,0.313,9,0,1,337,15,65,110,147,100.0,0.01,30.3,OK
Andhra Pradesh,Andhra-Dist-05,2024-10-01,Education,5.58,0.941,0.756,0.465,4,0,0,293,17,157,100,19,100.0,0.01,36.2,OK
Andhra Pradesh,Andhra-Dist-05,2024-11-01,Livelihoods,4.8,0.675,1.0,0.437,9,0,0,319,9,47,108,155,100.0,0.01,29.7,OK
Andhra Pradesh,Andhra-Dist-05,2025-02-01,Livelihoods,5.46,0.802,0.804,0.341,4,0,0,303,11,61,107,124,100.0,0.01,36.3,OK
Andhra Pradesh,Andhra-Dist-05,2025-04-01,Skilling,4.16,0.708,0.68,0.473,6,1,0,341,18,71,148,104,100.0,0.01,24.0,OK
Andhra Pradesh,Andhra-Dist-05,2025-06-01,WASH,5.69,0.496,0.512,0.475,7,0,1,287,15,48,115,109,100.0,0.01,12.6,OK
Andhra Pradesh,Andhra-Dist-05,2025-07-01,Education,4.64,0.673,0.727,0.501,4,0,1,300,14,162,123,1,100.0,0.01,42.6,OK
Andhra Pradesh,Andhra-Dist-05,2025-08-01,Health,4.85,0.706,0.644,0.378,6,0,1,314,0,0,0,0,100.0,0.021,19.6,MISSING_AGE
Andhra Pradesh,Andhra-Dist-05,2025-10-01,Health,7.7,0.773,0.551,0.323,9,0,0,366,59,72,148,87,100.0,0.01,30.3,OK
Andhra Pradesh,Andhra-Dist-06,2023-02-01,Education,4.92,0.46,0.619,0.583,8,0,0,306,16,151,113,26,100.0,0.01,13.5,OK
Andhra Pradesh,Andhra-Dist-06,2023-03-01,WASH,5.01,0.645,0.828,0.543,7,0,0,295,8,55,109,123,100.0,0.01,26.8,OK
Andhra Pradesh,Andhra-Dist-06,2023-04-01,Education,6.23,0.652,0.88,0.473,8,1,0,319,0,0,0,0,100.0,0.01,36.9,MISSING_AGE
Andhra Pradesh,Andhra-Dist-06,2023-07-01,Health,2.58,0.569,0.667,0.523,6,0,1,283,53,32,94,104,94.4,0.059,20.2,OK
Andhra Pradesh,Andhra-Dist-06,2023-08-01,WASH,4.94,0.638,0.724,0.448,6,0,1,310,16,50,113,131,100.0,0.01,29.4,OK
Andhra Pradesh,Andhra-Dist-06,2023-11-01,Livelihoods,5.42,0.885,0.716,0.594,9,0,0,292,18,51,111,112,100.0,0.01,32.1,OK
Andhra Pradesh,Andhra-Dist-06,2023-12-01,Skilling,5.6,0.851,0.828,0.642,7,0,0,303,16,59,108,120,100.0,0.01,49.7,OK
Andhra Pradesh,Andhra-Dist-06,2024-01-01,Health,6.83,0.72,0.727,0.592,5,0,0,332,56,57,112,107,100.0,0.01,35.0,OK
Andhra Pradesh,Andhra-Dist-06,2024-05-01,Health,6.86,0.75,0.741,0.558,4,1,0,333,50,59,140,84,100.0,0.01,36.2,OK
Andhra Pradesh,Andhra-Dist-06,2024-06-01,Health,4.79,0.681,0.558,0.522,7,0,1,293,56,54,111,72,100.0,0.01,27.7,OK
Andhra Pradesh,Andhra-Dist-06,2024-07-01,Skilling,5.55,0.71,0.747,0.738,5,0,1,313,16,62,126,109,100.0,0.01,27.7,OK
Andhra Pradesh,Andhra-Dist-06,2024-08-01,Education,5.84,0.661,0.736,0.552,5,0,1,302,13,153,120,16,100.0,0.01,23.5,OK
Andhra Pradesh,Andhra-Dist-06,2024-09-01,Education,6.45,0.744,0.903,0.463,8,0,1,334,15,166,133,20,100.0,0.01,26.3,OK
Andhra Pradesh,Andhra-Dist-06,2024-10-01,WASH,4.8,0.933,0.55,0.469,9,0,0,295,15,55,113,112,100.0,0.01,33.0,OK
Andhra Pradesh,Andhra-Dist-06,2024-11-01,Education,4.4,0.818,0.746,0.492,8,0,0,305,8,170,119,8,100.0,0.01,33.6,OK
Andhra Pradesh,Andhra-Dist-06,2025-01-01,Health,4.7,0.603,0.882,0.413,5,0,0,261,40,45,96,80,100.0,0.01,28.4,OK
Andhra Pradesh,Andhra-Dist-06,2025-02-01,WASH,5.21,0.604,0.65,0.549,5,0,0,295,18,56,145,76,100.0,0.01,28.9,OK
Andhra Pradesh,Andhra-Dist-06,2025-03-01,Education,5.23,0.824,0.937,0.522,5,0,0,297,21,152,130,0,100.0,0.01,42.2,OK
Andhra Pradesh,Andhra-Dist-06,2025-05-01,Skilling,6.22,0.876,0.773,0.647,4,1,0,302,0,0,0,0,100.0,0.01,39.7,MISSING_AGE
Andhra Pradesh,Andhra-Dist-06,2025-06-01,Education,4.18,0.675,0.707,0.517,1,0,1,285,0,0,0,0,87.3,0.01,28.5,MISSING_AGE
Andhra Pradesh,Andhra-Dist-06,2025-07-01,WASH,3.83,0.621,0.668,0.462,7,0,1,286,15,35,98,138,93.8,0.024,30.4,OK
Andhra Pradesh,Andhra-Dist-06,2025-08-01,Health,4.14,0.56,0.668,0.453,7,0,1,266,39,44,113,70,100.0,0.01,18.5,OK
Andhra Pradesh,Andhra-Dist-06,2025-09-01,Education,4.78,0.782,0.895,0.524,3,0,1,298,19,160,114,5,100.0,0.01,40.7,OK
Andhra Pradesh,Andhra-Dist-06,2025-10-01,Education,5.41,0.877,0.742,0.503,9,0,0,304,0,0,0,0,100.0,0.01,34.6,MISSING_AGE
Andhra Pradesh,Andhra-Dist-07,2023-01-01,Livelihoods,4.75,0.706,0.972,0.319,5,0,0,304,18,78,124,84,100.0,0.01,38.0,OK
Andhra Pradesh,Andhra-Dist-07,2023-02-01,Livelihoods,4.95,0.694,0.736,0.467,3,0,0,284,14,52,109,109,100.0,0.01,37.3,OK
Andhra Pradesh,Andhra-Dist-07,2023-03-01,Education,3.7,0.688,0.678,0.441,6,0,0,231,16,111,100,4,100.0,0.01,35.2,OK
Andhra Pradesh,Andhra-Dist-07,2023-04-01,Health,4.08,0.655,0.68,0.378,5,1,0,283,47,30,118,88,99.0,0.01,30.6,OK
Andhra Pradesh,Andhra-Dist-07,2023-05-01,Health,4.56,0.773,0.763,0.43,8,1,0,291,48,59,114,70,100.0,0.01,37.4,OK
Andhra Pradesh,Andhra-Dist-07,2023-06-01,Skilling,3.82,0.652,0.602,0.512,5,0,1,244,17,32,103,92,93.3,0.01,24.0,OK
Andhra Pradesh,Andhra-Dist-07,2023-07-01,Education,4.36,0.695,0.443,0.448,2,0,1,272,9,144,102,17,95.8,0.01,17.3,OK
Andhra Pradesh,Andhra-Dist-07,2023-09-01,Livelihoods,2.56,0.496,0.767,0.409,5,0,1,226,0,46,71,109,80.8,0.062,19.5,OK
Andhra Pradesh,Andhra-Dist-07,2024-01-01,Education,4.22,0.664,0.638,0.489,6,0,0,253,15,126,105,7,100.0,0.011,23.2,OK
Andhra Pradesh,Andhra-Dist-07,2024-02-01,Health,3.49,0.592,0.765,0.455,6,0,0,277,53,48,109,67,97.0,0.04,24.9,OK
Andhra Pradesh,Andhra-Dist-07,2024-03-01,Education,4.41,0.934,0.74,0.541,3,0,0,265,11,148,116,0,100.0,0.01,36.8,OK
Andhra Pradesh,Andhra-Dist-07,2024-04-01,Education,3.9,0.711,0.833,0.446,4,1,0,269,18,145,80,26,99.7,0.01,18.4,OK
Andhra Pradesh,Andhra-Dist-07,2024-05-01,WASH,4.17,0.795,0.697,0.435,5,1,0,248,14,53,92,89,100.0,0.01,36.9,OK
Andhra Pradesh,Andhra-Dist-07,2024-06-01,Education,4.98,0.53,0.688,0.472,8,0,1,290,19,149,107,15,100.0,0.01,14.0,OK
Andhra Pradesh,Andhra-Dist-07,2024-08-01,Health,3.25,0.921,0.815,0.417,5,0,1,252,47,54,116,35,94.1,0.01,40.1,OK
Andhra Pradesh,Andhra-Dist-07,2024-09-01,Livelihoods,3.6,0.762,0.713,0.462,7,0,1,253,22,49,86,96,100.0,0.01,30.6,OK
Andhra Pradesh,Andhra-Dist-07,2024-11-01,Health,4.45,0.748,0.571,0.447,4,0,0,238,30,50,86,72,100.0,0.01,17.0,OK
Andhra Pradesh,Andhra-Dist-07,2024-12-01,Skilling,3.33,0.689,0.677,0.56,3,0,0,263,4,54,107,98,91.5,0.01,22.3,OK
Andhra Pradesh,Andhra-Dist-07,2025-01-01,Skilling,2.7,0.701,0.692,0.544,2,0,0,273,13,47,121,92,86.3,0.017,15.5,OK
Andhra Pradesh,Andhra-Dist-07,2025-02-01,Skilling,3.88,0.745,0.869,0.571,6,0,0,278,0,0,0,0,99.9,0.01,41.2,MISSING_AGE
Andhra Pradesh,Andhra-Dist-07,2025-03-01,Health,2.77,0.787,0.908,0.455,9,0,0,273,0,0,0,0,98.9,0.018,36.0,MISSING_AGE
Andhra Pradesh,Andhra-Dist-07,2025-04-01,Livelihoods,3.72,0.889,0.864,0.488,5,1,0,256,4,44,98,110,100.0,0.01,38.9,OK
Andhra Pradesh,Andhra-Dist-07,2025-06-01,WASH,4.05,0.539,0.804,0.441,8,0,1,278,10,51,101,116,100.0,0.01,21.8,OK
Andhra Pradesh,Andhra-Dist-07,2025-09-01,WASH,2.74,0.426,0.694,0.403,6,0,1,274,11,51,100,112,87.0,0.063,13.9,OK
Andhra Pradesh,Andhra-Dist-08,2023-04-01,Livelihoods,4.97,0.704,0.643,0.441,9,1,0,325,21,54,132,118,100.0,0.01,27.9,OK
Andhra Pradesh,Andhra-Dist-08,2023-05-01,WASH,4.73,0.466,0.905,0.523,6,1,0,331,11,57,110,153,100.0,0.01,26.0,OK
Andhra Pradesh,Andhra-Dist-08,2023-11-01,Skilling,5.84,0.809,0.611,0.553,6,0,0,333,21,62,111,139,100.0,0.01,34.0,OK
Andhra Pradesh,Andhra-Dist-08,2024-01-01,WASH,5.83,0.886,0.697,0.376,6,0,0,318,13,52,115,138,100.0,0.01,36.4,OK
Andhra Pradesh,Andhra-Dist-08,2024-05-01,Health,6.34,0.939,0.956,0.429,6,1,0,291,48,59,96,88,100.0,0.01,37.8,OK
Andhra Pradesh,Andhra-Dist-08,2024-06-01,Education,5.94,0.546,0.657,0.371,10,0,1,361,21,195,126,19,100.0,0.01,17.9,OK
Andhra Pradesh,Andhra-Dist-08,2024-07-01,Skilling,6.75,0.699,0.527,0.523,11,0,1,345,18,57,141,129,100.0,0.01,21.0,OK
Andhra Pradesh,Andhra-Dist-08,2024-08-01,Health,5.96,0.913,0.931,0.409,5,0,1,337,51,55,121,110,100.0,0.01,44.7,OK
Andhra Pradesh,Andhra-Dist-08,2024-09-01,WASH,4.17,0.831,0.705,0.4,5,0,1,331,24,61,106,140,100.0,0.01,33.7,OK
Andhra Pradesh,Andhra-Dist-08,2024-10-01,WASH,4.67,0.925,0.844,0.505,4,0,0,320,20,63,118,119,100.0,0.01,42.8,OK
Andhra Pradesh,Andhra-Dist-08,2024-11-01,WASH,4.62,1.0,0.753,0.372,4,0,0,284,8,54,100,122,100.0,0.01,46.3,OK
Andhra Pradesh,Andhra-Dist-08,2024-12-01,Education,6.65,0.726,0.784,0.363,3,0,0,322,0,0,0,0,100.0,0.01,34.3,MISSING_AGE
Andhra Pradesh,Andhra-Dist-08,2025-01-01,Health,6.33,0.629,0.875,0.376,5,0,0,329,44,44,123,118,100.0,0.01,28.0,OK
Andhra Pradesh,Andhra-Dist-08,2025-03-01,Health,5.42,0.812,1.0,0.483,9,0,0,343,51,57,119,116,100.0,0.01,30.0,OK
Andhra Pradesh,Andhra-Dist-08,2025-06-01,Livelihoods,5.21,0.708,0.586,0.482,3,0,1,288,22,48,101,117,100.0,0.01,28.8,OK
Andhra Pradesh,Andhra-Dist-08,2025-07-01,WASH,4.9,0.627,0.716,0.381,6,0,1,324,0,0,0,0,100.0,0.034,19.7,MISSING_AGE
Andhra Pradesh,Andhra-Dist-08,2025-09-01,Skilling,4.85,1.0,0.685,0.497,7,0,1,323,18,62,136,107,100.0,0.01,44.7,OK
Assam,Assam-Dist-01,2023-02-01,Skilling,4.62,0.595,0.768,0.606,3,0,0,232,6,37,96,93,100.0,0.01,31.1,OK
Assam,Assam-Dist-01,2023-04-01,Health,5.69,0.532,0.566,0.522,10,1,0,302,58,46,112,86,100.0,0.01,8.0,OK
Assam,Assam-Dist-01,2023-09-01,Skilling,3.4,0.514,0.457,0.539,5,0,1,278,7,61,117,93,85.1,0.01,12.6,OK
Assam,Assam-Dist-01,2023-10-01,Livelihoods,5.48,0.603,0.698,0.384,3,0,0,284,11,44,121,108,100.0,0.01,11.4,OK
Assam,Assam-Dist-01,2023-11-01,Skilling,5.36,0.578,0.841,0.59,5,0,0,261,6,57,113,85,100.0,0.01,16.8,OK
Assam,Assam-Dist-01,2023-12-01,WASH,5.52,0.764,0.735,0.455,10,0,0,322,0,0,0,0,100.0,0.01,30.5,MISSING_AGE
Assam,Assam-Dist-01,2024-02-01,Education,2.61,0.572,0.696,0.443,4,0,0,255,19,145,93,0,89.6,0.08,25.7,OK
Assam,Assam-Dist-01,2024-04-01,Education,3.25,0.744,0.709,0.471,6,1,0,261,13,126,102,20,99.2,0.01,28.1,OK
