grant_id,theme,state,district,partner_id,partner_name,partner_type,hq_state,years_with_trust,prior_grants,start_date,end_date,months,budget_m_inr,n_tranches,need_index,rural_share,partner_capacity,disbursement_timeliness,on_time_reporting,budget_variance_pct,beneficiaries,cost_per_beneficiary_inr,outcome_index,risk_rating,data_quality_flag
G0012,Education,Jharkhand,Jharkhand-Dist-19,PARTNER-139,Partner 139,NGO,Odisha,6,9,2021-10-01,2023-09-01,23,51.6,2,0.634,0.593,4,0.68,0.84,0.087,1353,38139,83.9,3,OK
G0013,Education,Andhra Pradesh,Andhra-Dist-18,PARTNER-001,Partner 001,NGO,Bihar,8,9,2021-05-01,2022-07-01,14,73.17,3,0.629,0.556,4,0.816,0.936,-0.02,1805,40536,82.6,2,OK
G0014,Skilling,Uttar Pradesh,Uttar-Dist-10,PARTNER-045,Partner 045,NGO,Karnataka,7,8,2022-11-01,2023-10-01,11,46.64,4,0.2,0.575,3,0.705,0.694,0.036,912,51134,71.4,1,OK
G0015,Education,Assam,Assam-Dist-14,PARTNER-053,Partner 053,Academic,Tamil Nadu,8,10,2022-04-01,2024-05-01,25,70.89,3,0.229,0.339,3,0.796,0.811,0.136,1232,57542,69.6,1,OK
G0016,Skilling,Rajasthan,Rajasthan-Dist-03,PARTNER-089,Partner 089,NGO,Assam,2,2,2022-01-01,2022-10-01,9,35.59,5,0.433,0.814,3,0.901,0.918,0.213,1065,33421,86.6,2,OK
G0017,Livelihoods,Rajasthan,Rajasthan-Dist-19,PARTNER-011,Partner 011,NGO,Gujarat,3,2,2023-04-01,2025-05-01,25,19.53,3,0.2,0.948,3,0.733,0.763,0.097,348,56130,74.7,2,OK
G0018,WASH,Telangana,Telangana-Dist-06,PARTNER-059,Partner 059,NGO,Andhra Pradesh,3,4,2022-09-01,2024-04-01,19,74.69,3,0.496,0.824,2,0.658,0.664,0.136,2256,33106,79.0,3,OK
G0019,Health,Andhra Pradesh,Andhra-Dist-16,PARTNER-024,Partner 024,NGO,Bihar,7,6,2023-09-01,2024-07-01,10,40.78,2,0.2,0.738,2,0.661,0.592,0.121,720,56636,81.6,2,OK
G0020,Health,Uttar Pradesh,Uttar-Dist-13,PARTNER-104,Partner 104,NGO,Chhattisgarh,0,0,2024-05-01,2026-08-01,27,49.24,4,0.384,0.506,2,0.615,0.654,0.095,972,50659,77.2,2,OK
G0021,Skilling,Chhattisgarh,Chhattisgarh-Dist-12,PARTNER-055,Partner 055,NGO,Bihar,7,7,2022-11-01,2023-12-01,13,16.83,2,0.557,0.842,3,0.606,0.797,0.117,414,40645,84.1,3,OK
G0022,Health,Karnataka,Karnataka-Dist-13,PARTNER-077,Partner 077,NGO,Odisha,9,13,2022-04-01,2024-06-01,26,83.67,4,0.337,0.491,5,0.905,0.917,0.106,1780,47004,89.5,1,OK
G0023,WASH,Assam,Assam-Dist-10,PARTNER-126,Partner 126,CSR,Rajasthan,5,7,2022-04-01,2023-03-01,11,40.1,2,0.625,0.79,3,0.736,0.86,0.093,1328,30199,77.6,2,OK
G0024,WASH,Bihar,Bihar-Dist-20,PARTNER-004,Partner 004,NGO,Gujarat,10,15,2021-05-01,2022-07-01,14,30.81,2,0.2,0.622,3,0.664,0.815,0.012,582,52933,63.0,2,OK
G0025,Skilling,Jharkhand,Jharkhand-Dist-18,PARTNER-089,Partner 089,NGO,Assam,2,2,2024-04-01,2025-02-01,10,40.62,4,0.363,0.862,4,0.749,0.861,,1073,37853,78.5,2,OK
G0026,Skilling,Maharashtra,Maharashtra-Dist-20,PARTNER-086,Partner 086,CSR,Chhattisgarh,0,0,2022-02-01,2023-10-01,20,48.44,4,0.452,0.693,2,0.509,0.572,0.195,1272,38078,69.2,3,OK
G0027,Education,Tamil Nadu,Tamil-Dist-02,PARTNER-013,Partner 013,CSR,Madhya Pradesh,6,5,2021-10-01,2023-07-01,21,69.81,4,0.416,0.77,4,0.823,0.817,0.052,1834,38064,91.3,2,OK
G0028,Health,Maharashtra,Maharashtra-Dist-12,PARTNER-021,Partner 021,Government,Karnataka,4,3,2024-09-01,2025-09-01,12,121.03,3,0.764,0.617,4,0.766,0.911,0.027,3411,35483,85.3,2,OK
G0029,Education,Maharashtra,Maharashtra-Dist-08,PARTNER-106,Partner 106,NGO,Madhya Pradesh,4,3,2021-05-01,2023-02-01,21,110.51,3,0.631,0.708,4,0.839,0.756,,3004,36786,91.2,2,OK
G0030,Health,Karnataka,Karnataka-Dist-02,PARTNER-135,Partner 135,NGO,Rajasthan,1,1,2023-10-01,2025-11-01,25,135.02,3,0.304,0.666,3,0.798,0.71,0.153,2863,47161,83.7,3,OK
G0031,Skilling,Karnataka,Karnataka-Dist-07,PARTNER-012,Partner 012,Academic,West Bengal,5,7,2022-01-01,2024-01-01,24,36.19,2,0.342,0.399,3,0.742,0.765,0.028,377,95983,71.0,2,OK
G0032,Skilling,Madhya Pradesh,Madhya-Dist-13,PARTNER-134,Partner 134,NGO,West Bengal,9,9,2021-03-01,2021-12-01,9,22.14,3,0.214,0.833,4,0.886,1.0,0.02,430,51490,76.0,2,OK
G0033,WASH,Odisha,Odisha-Dist-04,PARTNER-050,Partner 050,NGO,Madhya Pradesh,9,11,2024-10-01,2026-01-01,15,34.66,3,0.328,0.679,3,0.771,0.756,0.179,842,41162,82.1,2,OK
G0034,WASH,Maharashtra,Maharashtra-Dist-01,PARTNER-017,Partner 017,NGO,Tamil Nadu,8,7,2021-12-01,2023-05-01,17,53.72,4,0.742,0.639,3,0.73,0.782,0.164,1554,34568,71.7,4,OK
G0035,Health,Rajasthan,Rajasthan-Dist-11,PARTNER-039,Partner 039,NGO,Jharkhand,2,3,2024-09-01,2025-12-01,15,86.73,3,0.216,0.633,5,0.863,1.0,-0.023,2010,43150,88.2,2,OK
G0036,Health,Chhattisgarh,Chhattisgarh-Dist-02,PARTNER-074,Partner 074,CSR,Gujarat,10,8,2023-02-01,2024-12-01,22,134.04,2,0.916,0.501,5,0.93,1.0,,3689,36335,82.6,3,OK
G0037,Livelihoods,Jharkhand,Jharkhand-Dist-11,PARTNER-033,Partner 033,NGO,Uttar Pradesh,2,2,2024-04-01,2025-10-01,18,37.12,2,0.36,0.554,4,0.803,0.981,0.054,916,40522,78.9,2,OK
G0038,Livelihoods,Uttar Pradesh,Uttar-Dist-15,PARTNER-010,Partner 010,NGO,Rajasthan,9,13,2021-11-01,2022-07-01,8,30.69,2,0.428,0.851,5,0.869,1.0,0.064,959,32000,84.3,1,OK
G0039,WASH,Rajasthan,Rajasthan-Dist-15,PARTNER-089,Partner 089,NGO,Assam,2,2,2023-04-01,2024-04-01,12,77.15,2,0.536,0.828,2,0.594,0.562,0.191,2199,35083,72.3,2,OK
G0040,Livelihoods,Assam,Assam-Dist-12,PARTNER-038,Partner 038,CSR,Assam,2,3,2024-05-01,2025-03-01,10,83.24,3,0.224,0.598,2,0.545,0.564,0.172,1824,45634,65.2,2,OK
G0041,Livelihoods,Chhattisgarh,Chhattisgarh-Dist-18,PARTNER-006,Partner 006,CSR,Maharashtra,1,1,2022-01-01,2023-11-01,22,30.12,3,0.625,0.85,3,0.743,0.896,0.182,994,30301,77.3,2,OK
G0042,Livelihoods,Jharkhand,Jharkhand-Dist-02,PARTNER-098,Partner 098,CSR,Telangana,10,11,2023-02-01,2024-11-01,21,50.73,4,0.467,0.594,4,0.943,0.771,0.092,1193,42519,73.8,2,OK
G0043,Livelihoods,Maharashtra,Maharashtra-Dist-12,PARTNER-013,Partner 013,CSR,Madhya Pradesh,6,5,2024-01-01,2025-07-01,18,59.19,2,0.319,0.671,3,0.74,0.779,0.132,1225,48316,83.0,1,OK
G0044,Skilling,Telangana,Telangana-Dist-14,PARTNER-033,Partner 033,NGO,Uttar Pradesh,2,2,2023-08-01,2024-07-01,11,40.56,3,0.667,0.889,2,0.571,0.654,0.116,1499,27056,78.0,3,OK
G0045,Skilling,Bihar,Bihar-Dist-20,PARTNER-064,Partner 064,NGO,Andhra Pradesh,7,6,2022-05-01,2023-04-01,11,50.67,3,0.54,0.572,3,0.776,0.739,0.109,1423,35605,77.2,2,OK
G0046,Health,Karnataka,Karnataka-Dist-15,PARTNER-072,Partner 072,NGO,Karnataka,6,9,2021-04-01,2022-01-01,9,148.98,3,0.325,0.482,5,0.945,0.871,-0.039,2614,56994,89.1,1,OK
G0047,WASH,Andhra Pradesh,Andhra-Dist-08,PARTNER-052,Partner 052,Academic,Maharashtra,8,12,2024-08-01,2025-06-01,10,38.14,3,0.457,0.503,5,0.818,0.925,-0.078,983,38797,75.9,2,OK
G0048,Skilling,Andhra Pradesh,Andhra-Dist-04,PARTNER-109,Partner 109,NGO,Jharkhand,9,12,2023-08-01,2025-03-01,19,45.33,5,0.571,0.659,3,0.703,0.708,0.064,1309,34627,73.6,3,OK
G0049,Education,Rajasthan,Rajasthan-Dist-07,PARTNER-071,Partner 071,Academic,Bihar,0,0,2022-09-01,2024-09-01,24,47.2,4,0.343,0.556,2,0.719,0.721,0.12,1025,46046,77.8,3,OK
G0050,WASH,Andhra Pradesh,Andhra-Dist-01,PARTNER-018,Partner 018,NGO,Bihar,3,2,2021-06-01,2022-04-01,10,46.67,3,0.33,0.644,3,0.755,0.767,-0.017,1077,43334,85.1,2,OK
G0051,WASH,Chhattisgarh,Chhattisgarh-Dist-18,PARTNER-042,Partner 042,CSR,Maharashtra,10,9,2023-12-01,2025-07-01,19,82.92,3,0.509,0.43,4,0.828,0.823,0.205,1717,48293,75.2,2,OK
G0052,Skilling,Assam,Assam-Dist-16,PARTNER-044,Partner 044,CSR,Jharkhand,0,0,2022-07-01,2024-06-01,23,71.37,2,0.658,0.638,2,0.641,0.66,0.158,2039,35001,80.0,4,OK
G0053,Skilling,Chhattisgarh,Chhattisgarh-Dist-15,PARTNER-123,Partner 123,Government,Rajasthan,0,0,2022-02-01,2023-05-01,15,27.94,2,0.344,0.534,4,0.849,0.887,0.084,687,40673,84.3,1,OK
G0054,Education,Assam,Assam-Dist-02,PARTNER-123,Partner 123,Government,Rajasthan,0,0,2023-03-01,2024-03-01,12,46.88,3,0.2,0.443,4,0.736,0.948,0.13,709,66121,77.7,2,OK
G0055,Livelihoods,Andhra Pradesh,Andhra-Dist-14,PARTNER-090,Partner 090,NGO,Karnataka,0,0,2021-07-01,2023-05-01,22,26.07,2,0.251,0.66,4,0.813,0.787,0.131,489,53320,66.5,1,OK
G0056,WASH,Gujarat,Gujarat-Dist-05,PARTNER-088,Partner 088,NGO,Maharashtra,8,9,2023-12-01,2025-09-01,21,172.49,4,0.319,0.715,5,0.898,0.91,0.01,3834,44989,83.4,1,OK
G0057,WASH,Jharkhand,Jharkhand-Dist-20,PARTNER-059,Partner 059,NGO,Andhra Pradesh,3,4,2021-09-01,2023-09-01,24,99.07,3,0.522,0.692,3,0.676,0.758,0.097,2582,38371,79.4,2,OK
G0058,Skilling,Rajasthan,Rajasthan-Dist-15,PARTNER-108,Partner 108,CSR,Uttar Pradesh,9,13,2024-10-01,2025-12-01,14,27.13,2,0.664,0.794,3,0.905,0.766,0.153,1008,26911,77.4,2,OK
G0059,Health,Maharashtra,Maharashtra-Dist-02,PARTNER-050,Partner 050,NGO,Madhya Pradesh,9,11,2024-11-01,2025-10-01,11,81.57,2,0.346,0.714,2,0.632,0.721,0.112,1900,42931,75.5,2,OK
G0060,WASH,Jharkhand,Jharkhand-Dist-11,PARTNER-087,Partner 087,Academic,Madhya Pradesh,2,2,2024-10-01,2025-10-01,12,56.4,4,0.539,0.7,3,0.82,0.718,0.059,1405,40144,78.0,1,OK
G0061,Education,Jharkhand,Jharkhand-Dist-01,PARTNER-026,Partner 026,Academic,Bihar,0,0,2024-09-01,2026-07-01,22,76.04,2,0.687,0.727,2,0.567,0.562,,2194,34658,77.0,2,OK
G0062,Livelihoods,Madhya Pradesh,Madhya-Dist-09,PARTNER-010,Partner 010,NGO,Rajasthan,9,13,2023-05-01,2024-04-01,11,45.87,4,0.221,0.853,3,0.791,0.578,0.109,1133,40482,73.5,2,OK
G0063,WASH,Tamil Nadu,Tamil-Dist-06,PARTNER-004,Partner 004,NGO,Gujarat,10,15,2024-03-01,2025-03-01,12,146.34,2,0.327,0.826,5,0.984,1.0,0.05,3507,41729,82.6,3,OK
G0064,WASH,Chhattisgarh,Chhattisgarh-Dist-05,PARTNER-086,Partner 086,CSR,Chhattisgarh,0,0,2022-11-01,2024-05-01,18,17.8,6,0.504,0.428,2,0.631,0.711,0.161,422,42180,77.4,4,OK
G0065,Education,Madhya Pradesh,Madhya-Dist-11,PARTNER-132,Partner 132,NGO,Uttar Pradesh,6,9,2024-09-01,2026-06-01,21,38.66,5,0.817,0.617,5,0.797,0.886,0.04,1339,28870,83.6,1,OK
G0066,Skilling,Jharkhand,Jharkhand-Dist-03,PARTNER-035,Partner 035,Academic,Madhya Pradesh,1,1,2024-06-01,2025-05-01,11,35.26,4,0.2,0.742,2,0.644,0.631,0.076,923,38198,72.7,3,OK
G0067,Education,Chhattisgarh,Chhattisgarh-Dist-08,PARTNER-131,Partner 131,Academic,Gujarat,4,4,2023-10-01,2025-11-01,25,45.53,2,0.2,0.799,2,0.613,0.582,0.24,1033,44071,83.6,3,OK
G0068,Education,West Bengal,West-Dist-13,PARTNER-095,Partner 095,Academic,Karnataka,3,4,2023-03-01,2025-06-01,27,81.39,3,0.314,0.387,2,0.617,0.605,0.196,1491,54589,78.9,3,OK
G0069,Skilling,Andhra Pradesh,Andhra-Dist-01,PARTNER-126,Partner 126,CSR,Rajasthan,5,7,2024-04-01,2026-07-01,27,42.65,4,0.593,0.508,3,0.683,0.746,0.17,1144,37282,68.3,3,OK
G0070,Livelihoods,West Bengal,West-Dist-07,PARTNER-078,Partner 078,NGO,West Bengal,1,1,2023-10-01,2024-10-01,12,23.48,2,0.397,0.706,3,0.658,0.66,0.163,610,38499,79.3,3,OK
G0071,Livelihoods,Bihar,Bihar-Dist-14,PARTNER-091,Partner 091,CSR,Assam,5,4,2024-01-01,2025-05-01,16,43.91,2,0.638,0.624,4,0.9,0.871,0.088,1328,33061,76.1,1,OK
G0072,Education,Telangana,Telangana-Dist-18,PARTNER-081,Partner 081,Academic,Bihar,6,7,2023-05-01,2025-03-01,22,70.21,3,0.528,0.65,2,0.561,0.523,0.136,1816,38663,81.4,3,OK
G0073,Health,Maharashtra,Maharashtra-Dist-06,PARTNER-084,Partner 084,NGO,Chhattisgarh,2,2,2023-01-01,2024-11-01,22,125.51,2,0.299,0.648,3,0.776,0.767,0.114,2553,49163,73.6,3,OK
G0074,Health,Chhattisgarh,Chhattisgarh-Dist-16,PARTNER-140,Partner 140,NGO,Assam,2,2,2022-09-01,2023-06-01,9,91.98,2,0.308,0.398,3,0.702,0.749,0.151,1593,57739,86.0,3,OK
G0075,Skilling,Assam,Assam-Dist-02,PARTNER-038,Partner 038,CSR,Assam,2,3,2021-10-01,2022-06-01,8,50.75,2,0.706,0.762,2,0.678,0.645,0.073,1837,27624,74.9,3,OK
G0076,Livelihoods,Maharashtra,Maharashtra-Dist-01,PARTNER-093,Partner 093,CSR,Karnataka,9,12,2022-03-01,2023-05-01,14,31.53,2,0.2,0.617,3,0.742,0.69,0.107,547,57640,69.9,2,OK
G0077,Skilling,Bihar,Bihar-Dist-10,PARTNER-112,Partner 112,NGO,Uttar Pradesh,0,0,2021-07-01,2023-03-01,20,55.99,5,0.2,0.739,2,0.54,0.538,-0.005,1386,40394,77.6,4,OK
G0078,Health,West Bengal,West-Dist-19,PARTNER-031,Partner 031,Academic,West Bengal,4,3,2024-11-01,2026-05-01,18,86.04,3,0.775,0.707,1,0.413,0.622,0.189,2581,33335,76.4,4,OK
G0079,Livelihoods,West Bengal,West-Dist-02,PARTNER-007,Partner 007,CSR,Chhattisgarh,5,5,2023-05-01,2024-04-01,11,54.46,2,0.457,0.591,3,0.745,0.684,0.164,1320,41254,77.3,2,OK
G0080,Livelihoods,Rajasthan,Rajasthan-Dist-03,PARTNER-123,Partner 123,Government,Rajasthan,0,0,2022-09-01,2023-08-01,11,20.92,3,0.345,0.664,5,0.796,1.0,0.115,431,48549,70.2,1,OK
G0081,Health,Chhattisgarh,Chhattisgarh-Dist-13,PARTNER-136,Partner 136,NGO,Telangana,2,2,2024-04-01,2026-02-01,22,83.55,5,0.364,0.575,5,0.957,1.0,0.055,2011,41545,85.6,1,OK
G0082,Skilling,Maharashtra,Maharashtra-Dist-12,PARTNER-026,Partner 026,Academic,Bihar,0,0,2024-09-01,2026-12-01,27,20.6,2,0.255,0.92,4,0.806,0.961,0.026,566,36396,76.4,1,OK
G0083,WASH,Madhya Pradesh,Madhya-Dist-04,PARTNER-038,Partner 038,CSR,Assam,2,3,2021-10-01,2023-02-01,16,62.08,3,0.785,0.412,2,0.708,0.751,0.124,1557,39868,78.5,2,OK
G0084,Livelihoods,Gujarat,Gujarat-Dist-05,PARTNER-138,Partner 138,NGO,Uttar Pradesh,4,4,2024-03-01,2025-04-01,13,37.31,4,0.4,0.674,5,0.999,0.961,0.109,995,37495,79.4,1,OK
G0085,WASH,West Bengal,West-Dist-02,PARTNER-041,Partner 041,NGO,Andhra Pradesh,2,2,2021-06-01,2023-07-01,25,42.85,2,0.384,0.59,4,0.787,0.87,0.026,1091,39278,79.0,2,OK
G0086,Education,Madhya Pradesh,Madhya-Dist-14,PARTNER-057,Partner 057,NGO,Andhra Pradesh,2,3,2022-04-01,2024-03-01,23,70.61,3,0.666,0.62,2,0.549,0.555,0.081,2074,34043,77.9,2,OK
G0087,Livelihoods,Odisha,Odisha-Dist-05,PARTNER-103,Partner 103,Academic,West Bengal,0,0,2021-11-01,2023-10-01,23,125.75,3,0.752,0.767,4,0.815,0.899,0.1,3801,33083,76.1,2,OK
G0088,Health,Gujarat,Gujarat-Dist-02,PARTNER-003,Partner 003,NGO,West Bengal,8,12,2021-01-01,2022-11-01,22,90.46,3,0.239,0.707,2,0.633,0.494,0.092,1812,49925,78.1,3,LATE_REPORTING
G0089,Livelihoods,Uttar Pradesh,Uttar-Dist-05,PARTNER-122,Partner 122,NGO,Bihar,8,7,2021-02-01,2022-01-01,11,53.37,5,0.654,0.613,3,0.75,0.726,0.098,1503,35507,83.8,2,OK
G0090,Skilling,Rajasthan,Rajasthan-Dist-13,PARTNER-013,Partner 013,CSR,Madhya Pradesh,6,5,2022-11-01,2023-09-01,10,43.9,3,0.2,0.669,2,0.563,0.607,0.164,841,52201,69.0,2,OK
G0091,WASH,Tamil Nadu,Tamil-Dist-05,PARTNER-013,Partner 013,CSR,Madhya Pradesh,6,5,2024-12-01,2026-11-01,23,56.88,3,0.623,0.663,3,0.639,0.793,0.162,1851,30726,76.4,2,OK
G0092,Education,Tamil Nadu,Tamil-Dist-08,PARTNER-044,Partner 044,CSR,Jharkhand,0,0,2021-04-01,2023-06-01,26,95.29,2,0.351,0.82,3,0.655,0.694,0.134,2548,37396,82.5,2,OK
G0093,Livelihoods,Maharashtra,Maharashtra-Dist-04,PARTNER-016,Partner 016,NGO,Andhra Pradesh,10,14,2022-03-01,2023-09-01,18,34.36,3,0.417,0.526,2,0.536,0.669,0.16,975,35238,81.2,3,OK
G0094,Livelihoods,Andhra Pradesh,Andhra-Dist-15,PARTNER-121,Partner 121,NGO,Andhra Pradesh,2,2,2024-07-01,2025-05-01,10,51.61,2,0.427,0.53,4,0.877,0.858,0.111,1193,43263,74.8,2,OK
G0095,Health,Tamil Nadu,Tamil-Dist-06,PARTNER-131,Partner 131,Academic,Gujarat,4,4,2023-09-01,2025-09-01,24,250.0,3,0.383,0.787,3,0.668,0.76,0.033,5770,43327,83.9,3,OK
G0096,Health,Bihar,Bihar-Dist-03,PARTNER-115,Partner 115,NGO,Rajasthan,8,5,2022-08-01,2023-04-01,8,132.38,4,0.592,0.685,2,0.62,0.558,0.07,3588,36895,95.0,3,OK
G0097,Skilling,West Bengal,West-Dist-11,PARTNER-016,Partner 016,NGO,Andhra Pradesh,10,14,2023-11-01,2025-05-01,18,29.21,4,0.301,0.509,4,0.725,0.865,0.105,680,42959,75.5,2,OK
G0098,Livelihoods,Karnataka,Karnataka-Dist-03,PARTNER-139,Partner 139,NGO,Odisha,6,9,2024-01-01,2026-02-01,25,25.22,3,0.795,0.517,2,0.581,0.657,0.137,710,35516,75.0,3,OK
G0099,Education,Chhattisgarh,Chhattisgarh-Dist-15,PARTNER-101,Partner 101,NGO,Jharkhand,6,7,2021-01-01,2022-08-01,19,101.37,3,0.799,0.775,4,0.767,0.915,0.119,3385,29947,81.4,2,OK
G0100,Education,Karnataka,Karnataka-Dist-09,PARTNER-108,Partner 108,CSR,Uttar Pradesh,9,13,2021-10-01,2022-08-01,10,42.64,5,0.412,0.677,4,0.928,0.83,0.057,1056,40377,85.9,2,OK
G0101,WASH,Andhra Pradesh,Andhra-Dist-19,PARTNER-107,Partner 107,CSR,Tamil Nadu,3,4,2022-04-01,2023-01-01,9,46.9,6,0.498,0.471,4,0.847,0.792,0.0,1081,43383,69.1,1,OK
G0102,Skilling,Odisha,Odisha-Dist-13,PARTNER-122,Partner 122,NGO,Bihar,8,7,2024-10-01,2025-11-01,13,56.3,3,0.567,0.693,3,0.66,0.765,0.106,1445,38965,71.6,2,OK
G0103,Skilling,Tamil Nadu,Tamil-Dist-03,PARTNER-132,Partner 132,NGO,Uttar Pradesh,6,9,2024-06-01,2026-01-01,19,13.44,2,0.322,0.725,3,0.704,0.7,0.011,337,39885,73.6,3,OK
G0104,Livelihoods,Telangana,Telangana-Dist-15,PARTNER-035,Partner 035,Academic,Madhya Pradesh,1,1,2023-05-01,2024-02-01,9,31.51,4,0.813,0.603,3,0.817,0.85,0.094,1065,29586,86.6,2,OK
G0105,Health,Karnataka,Karnataka-Dist-03,PARTNER-079,Partner 079,NGO,Madhya Pradesh,9,6,2023-11-01,2024-10-01,11,83.14,4,0.2,0.304,2,0.593,0.643,0.232,1411,58919,75.8,4,OK
G0106,WASH,Odisha,Odisha-Dist-04,PARTNER-133,Partner 133,NGO,Chhattisgarh,1,1,2023-02-01,2023-11-01,9,121.68,3,0.687,0.98,4,0.719,0.889,0.043,4036,30148,78.2,1,OK
G0107,Health,West Bengal,West-Dist-10,PARTNER-069,Partner 069,CSR,Gujarat,8,7,2021-03-01,2022-07-01,16,55.15,3,0.842,0.798,3,0.754,0.907,0.125,2035,27098,85.9,2,OK
G0108,WASH,Telangana,Telangana-Dist-04,PARTNER-066,Partner 066,NGO,Madhya Pradesh,0,0,2021-12-01,2023-11-01,23,88.45,4,0.361,0.642,2,0.69,0.73,0.175,2209,40038,77.8,4,OK
G0109,Education,Odisha,Odisha-Dist-03,PARTNER-099,Partner 099,NGO,Chhattisgarh,1,1,2024-01-01,2025-05-01,16,40.39,3,0.67,0.513,1,0.523,0.581,0.199,998,40468,82.2,3,OK
G0110,Skilling,Jharkhand,Jharkhand-Dist-14,PARTNER-018,Partner 018,NGO,Bihar,3,2,2024-03-01,2025-03-01,12,67.74,2,0.705,0.677,2,0.627,0.693,0.085,1877,36086,77.3,3,OK
G0111,Livelihoods,Rajasthan,Rajasthan-Dist-14,PARTNER-101,Partner 101,NGO,Jharkhand,6,7,2023-09-01,2025-02-01,17,56.52,4,0.378,0.828,4,0.793,0.931,0.125,1501,37653,85.0,1,OK
G0112,WASH,Odisha,Odisha-Dist-05,PARTNER-010,Partner 010,NGO,Rajasthan,9,13,2024-08-01,2026-01-01,17,83.44,3,0.219,0.696,4,0.777,0.775,0.112,1628,51254,66.5,2,OK
G0113,Education,Andhra Pradesh,Andhra-Dist-15,PARTNER-041,Partner 041,NGO,Andhra Pradesh,2,2,2022-03-01,2023-06-01,15,94.87,3,0.429,0.657,1,0.468,0.521,0.202,2331,40699,73.3,2,OK
G0114,Education,West Bengal,West-Dist-06,PARTNER-054,Partner 054,NGO,Bihar,10,10,2022-03-01,2023-02-01,11,153.16,2,0.301,0.576,2,0.552,0.698,0.076,2827,54178,74.8,3,OK
G0115,Health,Telangana,Telangana-Dist-02,PARTNER-035,Partner 035,Academic,Madhya Pradesh,1,1,2024-01-01,2024-09-01,8,109.61,2,0.615,0.772,2,0.622,0.731,0.147,3189,34370,82.8,3,OK
G0116,Health,West Bengal,West-Dist-09,PARTNER-127,Partner 127,NGO,Telangana,7,10,2021-11-01,2023-01-01,14,45.03,3,0.2,0.587,4,0.914,0.773,0.127,944,47702,87.3,1,OK
G0117,Health,West Bengal,West-Dist-12,PARTNER-060,Partner 060,NGO,Jharkhand,3,3,2023-04-01,2025-03-01,23,50.8,4,0.2,0.789,2,0.663,0.692,0.157,1237,41065,80.3,3,OK
G0118,WASH,Maharashtra,Maharashtra-Dist-09,PARTNER-035,Partner 035,Academic,Madhya Pradesh,1,1,2023-06-01,2024-12-01,18,20.22,4,0.269,0.691,4,0.883,0.778,0.124,516,39190,76.8,2,OK
